Barrio,USD/m2
Puerto Madero,5786
Palermo,3313
Belgrano,3164
Nuðez,3039
Recoleta,2973
Retiro,2926
Colegiales,2888
Villa Urquiza,2801
Coghlan,2690
Chacarita,2643
Villa Devoto,2591
Saavedra,2588
Villa Ortuzar,2586
Caballito,2583
Villa Crespo,2527
Parque Chas,2431
Agronomia,2420
Almagro,2418
San Telmo,2417
Villa Pueyrredon,2414
Barracas,2364
Villa Del Parque,2357
Parque Chacabuco,2343
Monte Castro,2335
Villa Luro,2325
Liniers,2294
Paternal,2270
Villa Santa Rita,2261
Flores,2232
Boedo,2229
San Nicolas,2163
Versalles,2159
Villa Mitre,2119
Mataderos,2084
Monserrat,2083
Villa Real,2066
Velez Sarsfield,2050
Balvanera,2043
Parque Patricios,2022
San Cristobal,2015
Constitucion,1960
Floresta,1929
Nueva Pompeya,1872
Parque Avellaneda,1842
La Boca,1781
Villa Riachuelo,1748
Villa Lugano,1125
Villa Soldati,836
